"","TXNAME","GENEID"
"1","ChrSy.fgenesh.mRNA.1","ChrSy.fgenesh.gene.1"
"2","ChrSy.fgenesh.mRNA.10","ChrSy.fgenesh.gene.10"
"3","ChrSy.fgenesh.mRNA.11","ChrSy.fgenesh.gene.11"
"4","ChrSy.fgenesh.mRNA.12","ChrSy.fgenesh.gene.12"
"5","ChrSy.fgenesh.mRNA.13","ChrSy.fgenesh.gene.13"
"6","ChrSy.fgenesh.mRNA.14","ChrSy.fgenesh.gene.14"
"7","ChrSy.fgenesh.mRNA.15","ChrSy.fgenesh.gene.15"
"8","ChrSy.fgenesh.mRNA.16","ChrSy.fgenesh.gene.16"
"9","ChrSy.fgenesh.mRNA.17","ChrSy.fgenesh.gene.17"
"10","ChrSy.fgenesh.mRNA.18","ChrSy.fgenesh.gene.18"
"11","ChrSy.fgenesh.mRNA.19","ChrSy.fgenesh.gene.19"
"12","ChrSy.fgenesh.mRNA.2","ChrSy.fgenesh.gene.2"
"13","ChrSy.fgenesh.mRNA.20","ChrSy.fgenesh.gene.20"
"14","ChrSy.fgenesh.mRNA.21","ChrSy.fgenesh.gene.21"
"15","ChrSy.fgenesh.mRNA.22","ChrSy.fgenesh.gene.22"
"16","ChrSy.fgenesh.mRNA.23","ChrSy.fgenesh.gene.23"
"17","ChrSy.fgenesh.mRNA.24","ChrSy.fgenesh.gene.24"
"18","ChrSy.fgenesh.mRNA.25","ChrSy.fgenesh.gene.25"
"19","ChrSy.fgenesh.mRNA.26","ChrSy.fgenesh.gene.26"
"20","ChrSy.fgenesh.mRNA.27","ChrSy.fgenesh.gene.27"
"21","ChrSy.fgenesh.mRNA.28","ChrSy.fgenesh.gene.28"
"22","ChrSy.fgenesh.mRNA.29","ChrSy.fgenesh.gene.29"
"23","ChrSy.fgenesh.mRNA.3","ChrSy.fgenesh.gene.3"
"24","ChrSy.fgenesh.mRNA.30","ChrSy.fgenesh.gene.30"
"25","ChrSy.fgenesh.mRNA.31","ChrSy.fgenesh.gene.31"
"26","ChrSy.fgenesh.mRNA.32","ChrSy.fgenesh.gene.32"
"27","ChrSy.fgenesh.mRNA.33","ChrSy.fgenesh.gene.33"
"28","ChrSy.fgenesh.mRNA.34","ChrSy.fgenesh.gene.34"
"29","ChrSy.fgenesh.mRNA.35","ChrSy.fgenesh.gene.35"
"30","ChrSy.fgenesh.mRNA.36","ChrSy.fgenesh.gene.36"
"31","ChrSy.fgenesh.mRNA.37","ChrSy.fgenesh.gene.37"
"32","ChrSy.fgenesh.mRNA.38","ChrSy.fgenesh.gene.38"
"33","ChrSy.fgenesh.mRNA.39","ChrSy.fgenesh.gene.39"
"34","ChrSy.fgenesh.mRNA.4","ChrSy.fgenesh.gene.4"
"35","ChrSy.fgenesh.mRNA.40","ChrSy.fgenesh.gene.40"
"36","ChrSy.fgenesh.mRNA.41","ChrSy.fgenesh.gene.41"
"37","ChrSy.fgenesh.mRNA.42","ChrSy.fgenesh.gene.42"
"38","ChrSy.fgenesh.mRNA.43","ChrSy.fgenesh.gene.43"
"39","ChrSy.fgenesh.mRNA.44","ChrSy.fgenesh.gene.44"
"40","ChrSy.fgenesh.mRNA.45","ChrSy.fgenesh.gene.45"
"41","ChrSy.fgenesh.mRNA.46","ChrSy.fgenesh.gene.46"
"42","ChrSy.fgenesh.mRNA.47","ChrSy.fgenesh.gene.47"
"43","ChrSy.fgenesh.mRNA.48","ChrSy.fgenesh.gene.48"
"44","ChrSy.fgenesh.mRNA.49","ChrSy.fgenesh.gene.49"
"45","ChrSy.fgenesh.mRNA.5","ChrSy.fgenesh.gene.5"
"46","ChrSy.fgenesh.mRNA.50","ChrSy.fgenesh.gene.50"
"47","ChrSy.fgenesh.mRNA.51","ChrSy.fgenesh.gene.51"
"48","ChrSy.fgenesh.mRNA.52","ChrSy.fgenesh.gene.52"
"49","ChrSy.fgenesh.mRNA.53","ChrSy.fgenesh.gene.53"
"50","ChrSy.fgenesh.mRNA.54","ChrSy.fgenesh.gene.54"
"51","ChrSy.fgenesh.mRNA.55","ChrSy.fgenesh.gene.55"
"52","ChrSy.fgenesh.mRNA.56","ChrSy.fgenesh.gene.56"
"53","ChrSy.fgenesh.mRNA.57","ChrSy.fgenesh.gene.57"
"54","ChrSy.fgenesh.mRNA.58","ChrSy.fgenesh.gene.58"
"55","ChrSy.fgenesh.mRNA.59","ChrSy.fgenesh.gene.59"
"56","ChrSy.fgenesh.mRNA.6","ChrSy.fgenesh.gene.6"
"57","ChrSy.fgenesh.mRNA.60","ChrSy.fgenesh.gene.60"
"58","ChrSy.fgenesh.mRNA.61","ChrSy.fgenesh.gene.61"
"59","ChrSy.fgenesh.mRNA.62","ChrSy.fgenesh.gene.62"
"60","ChrSy.fgenesh.mRNA.63","ChrSy.fgenesh.gene.63"
"61","ChrSy.fgenesh.mRNA.64","ChrSy.fgenesh.gene.64"
"62","ChrSy.fgenesh.mRNA.65","ChrSy.fgenesh.gene.65"
"63","ChrSy.fgenesh.mRNA.66","ChrSy.fgenesh.gene.66"
"64","ChrSy.fgenesh.mRNA.67","ChrSy.fgenesh.gene.67"
"65","ChrSy.fgenesh.mRNA.68","ChrSy.fgenesh.gene.68"
"66","ChrSy.fgenesh.mRNA.69","ChrSy.fgenesh.gene.69"
"67","ChrSy.fgenesh.mRNA.7","ChrSy.fgenesh.gene.7"
"68","ChrSy.fgenesh.mRNA.70","ChrSy.fgenesh.gene.70"
"69","ChrSy.fgenesh.mRNA.71","ChrSy.fgenesh.gene.71"
"70","ChrSy.fgenesh.mRNA.72","ChrSy.fgenesh.gene.72"
"71","ChrSy.fgenesh.mRNA.73","ChrSy.fgenesh.gene.73"
"72","ChrSy.fgenesh.mRNA.74","ChrSy.fgenesh.gene.74"
"73","ChrSy.fgenesh.mRNA.75","ChrSy.fgenesh.gene.75"
"74","ChrSy.fgenesh.mRNA.76","ChrSy.fgenesh.gene.76"
"75","ChrSy.fgenesh.mRNA.77","ChrSy.fgenesh.gene.77"
"76","ChrSy.fgenesh.mRNA.78","ChrSy.fgenesh.gene.78"
"77","ChrSy.fgenesh.mRNA.79","ChrSy.fgenesh.gene.79"
"78","ChrSy.fgenesh.mRNA.8","ChrSy.fgenesh.gene.8"
"79","ChrSy.fgenesh.mRNA.80","ChrSy.fgenesh.gene.80"
"80","ChrSy.fgenesh.mRNA.81","ChrSy.fgenesh.gene.81"
"81","ChrSy.fgenesh.mRNA.82","ChrSy.fgenesh.gene.82"
"82","ChrSy.fgenesh.mRNA.83","ChrSy.fgenesh.gene.83"
"83","ChrSy.fgenesh.mRNA.84","ChrSy.fgenesh.gene.84"
"84","ChrSy.fgenesh.mRNA.85","ChrSy.fgenesh.gene.85"
"85","ChrSy.fgenesh.mRNA.86","ChrSy.fgenesh.gene.86"
"86","ChrSy.fgenesh.mRNA.87","ChrSy.fgenesh.gene.87"
"87","ChrSy.fgenesh.mRNA.88","ChrSy.fgenesh.gene.88"
"88","ChrSy.fgenesh.mRNA.89","ChrSy.fgenesh.gene.89"
"89","ChrSy.fgenesh.mRNA.9","ChrSy.fgenesh.gene.9"
"90","ChrUn.fgenesh.mRNA.1","ChrUn.fgenesh.gene.1"
"91","ChrUn.fgenesh.mRNA.10","ChrUn.fgenesh.gene.10"
"92","ChrUn.fgenesh.mRNA.11","ChrUn.fgenesh.gene.11"
"93","ChrUn.fgenesh.mRNA.12","ChrUn.fgenesh.gene.12"
"94","ChrUn.fgenesh.mRNA.13","ChrUn.fgenesh.gene.13"
"95","ChrUn.fgenesh.mRNA.14","ChrUn.fgenesh.gene.14"
"96","ChrUn.fgenesh.mRNA.15","ChrUn.fgenesh.gene.15"
"97","ChrUn.fgenesh.mRNA.16","ChrUn.fgenesh.gene.16"
"98","ChrUn.fgenesh.mRNA.17","ChrUn.fgenesh.gene.17"
"99","ChrUn.fgenesh.mRNA.18","ChrUn.fgenesh.gene.18"
"100","ChrUn.fgenesh.mRNA.19","ChrUn.fgenesh.gene.19"
"101","ChrUn.fgenesh.mRNA.2","ChrUn.fgenesh.gene.2"
"102","ChrUn.fgenesh.mRNA.20","ChrUn.fgenesh.gene.20"
"103","ChrUn.fgenesh.mRNA.21","ChrUn.fgenesh.gene.21"
"104","ChrUn.fgenesh.mRNA.22","ChrUn.fgenesh.gene.22"
"105","ChrUn.fgenesh.mRNA.23","ChrUn.fgenesh.gene.23"
"106","ChrUn.fgenesh.mRNA.24","ChrUn.fgenesh.gene.24"
"107","ChrUn.fgenesh.mRNA.25","ChrUn.fgenesh.gene.25"
"108","ChrUn.fgenesh.mRNA.26","ChrUn.fgenesh.gene.26"
"109","ChrUn.fgenesh.mRNA.27","ChrUn.fgenesh.gene.27"
"110","ChrUn.fgenesh.mRNA.28","ChrUn.fgenesh.gene.28"
"111","ChrUn.fgenesh.mRNA.29","ChrUn.fgenesh.gene.29"
"112","ChrUn.fgenesh.mRNA.3","ChrUn.fgenesh.gene.3"
"113","ChrUn.fgenesh.mRNA.30","ChrUn.fgenesh.gene.30"
"114","ChrUn.fgenesh.mRNA.31","ChrUn.fgenesh.gene.31"
"115","ChrUn.fgenesh.mRNA.32","ChrUn.fgenesh.gene.32"
"116","ChrUn.fgenesh.mRNA.33","ChrUn.fgenesh.gene.33"
"117","ChrUn.fgenesh.mRNA.34","ChrUn.fgenesh.gene.34"
"118","ChrUn.fgenesh.mRNA.35","ChrUn.fgenesh.gene.35"
"119","ChrUn.fgenesh.mRNA.36","ChrUn.fgenesh.gene.36"
"120","ChrUn.fgenesh.mRNA.37","ChrUn.fgenesh.gene.37"
"121","ChrUn.fgenesh.mRNA.38","ChrUn.fgenesh.gene.38"
"122","ChrUn.fgenesh.mRNA.39","ChrUn.fgenesh.gene.39"
"123","ChrUn.fgenesh.mRNA.4","ChrUn.fgenesh.gene.4"
"124","ChrUn.fgenesh.mRNA.40","ChrUn.fgenesh.gene.40"
"125","ChrUn.fgenesh.mRNA.41","ChrUn.fgenesh.gene.41"
"126","ChrUn.fgenesh.mRNA.42","ChrUn.fgenesh.gene.42"
"127","ChrUn.fgenesh.mRNA.43","ChrUn.fgenesh.gene.43"
"128","ChrUn.fgenesh.mRNA.44","ChrUn.fgenesh.gene.44"
"129","ChrUn.fgenesh.mRNA.45","ChrUn.fgenesh.gene.45"
"130","ChrUn.fgenesh.mRNA.46","ChrUn.fgenesh.gene.46"
"131","ChrUn.fgenesh.mRNA.47","ChrUn.fgenesh.gene.47"
"132","ChrUn.fgenesh.mRNA.48","ChrUn.fgenesh.gene.48"
"133","ChrUn.fgenesh.mRNA.49","ChrUn.fgenesh.gene.49"
"134","ChrUn.fgenesh.mRNA.5","ChrUn.fgenesh.gene.5"
"135","ChrUn.fgenesh.mRNA.50","ChrUn.fgenesh.gene.50"
"136","ChrUn.fgenesh.mRNA.51","ChrUn.fgenesh.gene.51"
"137","ChrUn.fgenesh.mRNA.52","ChrUn.fgenesh.gene.52"
"138","ChrUn.fgenesh.mRNA.53","ChrUn.fgenesh.gene.53"
"139","ChrUn.fgenesh.mRNA.54","ChrUn.fgenesh.gene.54"
"140","ChrUn.fgenesh.mRNA.55","ChrUn.fgenesh.gene.55"
"141","ChrUn.fgenesh.mRNA.56","ChrUn.fgenesh.gene.56"
"142","ChrUn.fgenesh.mRNA.57","ChrUn.fgenesh.gene.57"
"143","ChrUn.fgenesh.mRNA.58","ChrUn.fgenesh.gene.58"
"144","ChrUn.fgenesh.mRNA.59","ChrUn.fgenesh.gene.59"
"145","ChrUn.fgenesh.mRNA.6","ChrUn.fgenesh.gene.6"
"146","ChrUn.fgenesh.mRNA.60","ChrUn.fgenesh.gene.60"
"147","ChrUn.fgenesh.mRNA.61","ChrUn.fgenesh.gene.61"
"148","ChrUn.fgenesh.mRNA.62","ChrUn.fgenesh.gene.62"
"149","ChrUn.fgenesh.mRNA.63","ChrUn.fgenesh.gene.63"
"150","ChrUn.fgenesh.mRNA.64","ChrUn.fgenesh.gene.64"
"151","ChrUn.fgenesh.mRNA.65","ChrUn.fgenesh.gene.65"
"152","ChrUn.fgenesh.mRNA.66","ChrUn.fgenesh.gene.66"
"153","ChrUn.fgenesh.mRNA.67","ChrUn.fgenesh.gene.67"
"154","ChrUn.fgenesh.mRNA.68","ChrUn.fgenesh.gene.68"
"155","ChrUn.fgenesh.mRNA.69","ChrUn.fgenesh.gene.69"
"156","ChrUn.fgenesh.mRNA.7","ChrUn.fgenesh.gene.7"
"157","ChrUn.fgenesh.mRNA.70","ChrUn.fgenesh.gene.70"
"158","ChrUn.fgenesh.mRNA.71","ChrUn.fgenesh.gene.71"
"159","ChrUn.fgenesh.mRNA.72","ChrUn.fgenesh.gene.72"
"160","ChrUn.fgenesh.mRNA.73","ChrUn.fgenesh.gene.73"
"161","ChrUn.fgenesh.mRNA.74","ChrUn.fgenesh.gene.74"
"162","ChrUn.fgenesh.mRNA.75","ChrUn.fgenesh.gene.75"
"163","ChrUn.fgenesh.mRNA.76","ChrUn.fgenesh.gene.76"
"164","ChrUn.fgenesh.mRNA.77","ChrUn.fgenesh.gene.77"
"165","ChrUn.fgenesh.mRNA.78","ChrUn.fgenesh.gene.78"
"166","ChrUn.fgenesh.mRNA.79","ChrUn.fgenesh.gene.79"
"167","ChrUn.fgenesh.mRNA.8","ChrUn.fgenesh.gene.8"
"168","ChrUn.fgenesh.mRNA.80","ChrUn.fgenesh.gene.80"
"169","ChrUn.fgenesh.mRNA.81","ChrUn.fgenesh.gene.81"
"170","ChrUn.fgenesh.mRNA.82","ChrUn.fgenesh.gene.82"
"171","ChrUn.fgenesh.mRNA.83","ChrUn.fgenesh.gene.83"
"172","ChrUn.fgenesh.mRNA.84","ChrUn.fgenesh.gene.84"
"173","ChrUn.fgenesh.mRNA.85","ChrUn.fgenesh.gene.85"
"174","ChrUn.fgenesh.mRNA.86","ChrUn.fgenesh.gene.86"
"175","ChrUn.fgenesh.mRNA.87","ChrUn.fgenesh.gene.87"
"176","ChrUn.fgenesh.mRNA.88","ChrUn.fgenesh.gene.88"
"177","ChrUn.fgenesh.mRNA.89","ChrUn.fgenesh.gene.89"
"178","ChrUn.fgenesh.mRNA.9","ChrUn.fgenesh.gene.9"
"179","ChrUn.fgenesh.mRNA.90","ChrUn.fgenesh.gene.90"
"180","ChrUn.fgenesh.mRNA.91","ChrUn.fgenesh.gene.91"
"181","ChrUn.fgenesh.mRNA.92","ChrUn.fgenesh.gene.92"
"182","ChrUn.fgenesh.mRNA.93","ChrUn.fgenesh.gene.93"
"183","ChrUn.fgenesh.mRNA.94","ChrUn.fgenesh.gene.94"
"184","ChrUn.fgenesh.mRNA.95","ChrUn.fgenesh.gene.95"
"185","ChrUn.fgenesh.mRNA.96","ChrUn.fgenesh.gene.96"
"186","LOC_Os01g01010.1","LOC_Os01g01010"
"187","LOC_Os01g01010.2","LOC_Os01g01010"
"188","LOC_Os01g01019.1","LOC_Os01g01019"
"189","LOC_Os01g01030.1","LOC_Os01g01030"
"190","LOC_Os01g01040.4","LOC_Os01g01040"
"191","LOC_Os01g01040.1","LOC_Os01g01040"
"192","LOC_Os01g01040.2","LOC_Os01g01040"
"193","LOC_Os01g01040.3","LOC_Os01g01040"
"194","LOC_Os01g01050.1","LOC_Os01g01050"
"195","LOC_Os01g01050.2","LOC_Os01g01050"
"196","LOC_Os01g01060.1","LOC_Os01g01060"
"197","LOC_Os01g01070.3","LOC_Os01g01070"
"198","LOC_Os01g01070.1","LOC_Os01g01070"
"199","LOC_Os01g01070.2","LOC_Os01g01070"
"200","LOC_Os01g01080.1","LOC_Os01g01080"
"201","LOC_Os01g01080.2","LOC_Os01g01080"
"202","LOC_Os01g01080.3","LOC_Os01g01080"
"203","LOC_Os01g01090.1","LOC_Os01g01090"
"204","LOC_Os01g01100.1","LOC_Os01g01100"
"205","LOC_Os01g01110.1","LOC_Os01g01110"
"206","LOC_Os01g01115.1","LOC_Os01g01115"
"207","LOC_Os01g01120.1","LOC_Os01g01120"
"208","LOC_Os01g01130.1","LOC_Os01g01130"
"209","LOC_Os01g01140.1","LOC_Os01g01140"
"210","LOC_Os01g01150.1","LOC_Os01g01150"
"211","LOC_Os01g01150.2","LOC_Os01g01150"
"212","LOC_Os01g01150.3","LOC_Os01g01150"
"213","LOC_Os01g01160.1","LOC_Os01g01160"
"214","LOC_Os01g01170.1","LOC_Os01g01170"
"215","LOC_Os01g01180.1","LOC_Os01g01180"
"216","LOC_Os01g01190.1","LOC_Os01g01190"
"217","LOC_Os01g01200.1","LOC_Os01g01200"
"218","LOC_Os01g01210.1","LOC_Os01g01210"
"219","LOC_Os01g01230.1","LOC_Os01g01230"
"220","LOC_Os01g01240.1","LOC_Os01g01240"
"221","LOC_Os01g01250.1","LOC_Os01g01250"
"222","LOC_Os01g01260.1","LOC_Os01g01260"
"223","LOC_Os01g01270.1","LOC_Os01g01270"
"224","LOC_Os01g01280.1","LOC_Os01g01280"
"225","LOC_Os01g01290.1","LOC_Os01g01290"
"226","LOC_Os01g01295.1","LOC_Os01g01295"
"227","LOC_Os01g01302.1","LOC_Os01g01302"
"228","LOC_Os01g01307.1","LOC_Os01g01307"
"229","LOC_Os01g01307.2","LOC_Os01g01307"
"230","LOC_Os01g01312.1","LOC_Os01g01312"
"231","LOC_Os01g01320.1","LOC_Os01g01320"
"232","LOC_Os01g01330.1","LOC_Os01g01330"
"233","LOC_Os01g01340.2","LOC_Os01g01340"
"234","LOC_Os01g01340.1","LOC_Os01g01340"
"235","LOC_Os01g01350.1","LOC_Os01g01350"
"236","LOC_Os01g01350.2","LOC_Os01g01350"
"237","LOC_Os01g01360.1","LOC_Os01g01360"
"238","LOC_Os01g01369.1","LOC_Os01g01369"
"239","LOC_Os01g01380.1","LOC_Os01g01380"
"240","LOC_Os01g01390.1","LOC_Os01g01390"
"241","LOC_Os01g01390.2","LOC_Os01g01390"
"242","LOC_Os01g01390.3","LOC_Os01g01390"
"243","LOC_Os01g01390.4","LOC_Os01g01390"
"244","LOC_Os01g01390.5","LOC_Os01g01390"
"245","LOC_Os01g01400.1","LOC_Os01g01400"
"246","LOC_Os01g01410.1","LOC_Os01g01410"
"247","LOC_Os01g01410.2","LOC_Os01g01410"
"248","LOC_Os01g01420.1","LOC_Os01g01420"
"249","LOC_Os01g01420.3","LOC_Os01g01420"
"250","LOC_Os01g01420.2","LOC_Os01g01420"
"251","LOC_Os01g01430.1","LOC_Os01g01430"
"252","LOC_Os01g01440.1","LOC_Os01g01440"
"253","LOC_Os01g01450.1","LOC_Os01g01450"
"254","LOC_Os01g01450.2","LOC_Os01g01450"
"255","LOC_Os01g01460.1","LOC_Os01g01460"
"256","LOC_Os01g01470.1","LOC_Os01g01470"
"257","LOC_Os01g01484.4","LOC_Os01g01484"
"258","LOC_Os01g01484.1","LOC_Os01g01484"
"259","LOC_Os01g01484.2","LOC_Os01g01484"
"260","LOC_Os01g01484.5","LOC_Os01g01484"
"261","LOC_Os01g01500.1","LOC_Os01g01500"
"262","LOC_Os01g01510.1","LOC_Os01g01510"
"263","LOC_Os01g01510.2","LOC_Os01g01510"
"264","LOC_Os01g01520.1","LOC_Os01g01520"
"265","LOC_Os01g01530.1","LOC_Os01g01530"
"266","LOC_Os01g01540.1","LOC_Os01g01540"
"267","LOC_Os01g01550.1","LOC_Os01g01550"
"268","LOC_Os01g01560.1","LOC_Os01g01560"
"269","LOC_Os01g01570.1","LOC_Os01g01570"
"270","LOC_Os01g01580.1","LOC_Os01g01580"
"271","LOC_Os01g01590.1","LOC_Os01g01590"
"272","LOC_Os01g01600.1","LOC_Os01g01600"
"273","LOC_Os01g01610.1","LOC_Os01g01610"
"274","LOC_Os01g01620.1","LOC_Os01g01620"
"275","LOC_Os01g01640.1","LOC_Os01g01640"
"276","LOC_Os01g01650.1","LOC_Os01g01650"
"277","LOC_Os01g01660.1","LOC_Os01g01660"
"278","LOC_Os01g01670.2","LOC_Os01g01670"
"279","LOC_Os01g01670.1","LOC_Os01g01670"
"280","LOC_Os01g01680.1","LOC_Os01g01680"
"281","LOC_Os01g01689.1","LOC_Os01g01689"
"282","LOC_Os01g01689.3","LOC_Os01g01689"
"283","LOC_Os01g01700.1","LOC_Os01g01700"
"284","LOC_Os01g01710.1","LOC_Os01g01710"
"285","LOC_Os01g01710.2","LOC_Os01g01710"
"286","LOC_Os01g01720.1","LOC_Os01g01720"
"287","LOC_Os01g01720.2","LOC_Os01g01720"
"288","LOC_Os01g01730.1","LOC_Os01g01730"
"289","LOC_Os01g01740.1","LOC_Os01g01740"
"290","LOC_Os01g01760.1","LOC_Os01g01760"
"291","LOC_Os01g01770.1","LOC_Os01g01770"
"292","LOC_Os01g01780.1","LOC_Os01g01780"
"293","LOC_Os01g01790.1","LOC_Os01g01790"
"294","LOC_Os01g01790.2","LOC_Os01g01790"
"295","LOC_Os01g01800.2","LOC_Os01g01800"
"296","LOC_Os01g01800.1","LOC_Os01g01800"
"297","LOC_Os01g01810.1","LOC_Os01g01810"
"298","LOC_Os01g01830.1","LOC_Os01g01830"
"299","LOC_Os01g01840.1","LOC_Os01g01840"
"300","LOC_Os01g01850.1","LOC_Os01g01850"
"301","LOC_Os01g01860.1","LOC_Os01g01860"
"302","LOC_Os01g01870.1","LOC_Os01g01870"
"303","LOC_Os01g01880.1","LOC_Os01g01880"
"304","LOC_Os01g01890.1","LOC_Os01g01890"
"305","LOC_Os01g01900.1","LOC_Os01g01900"
"306","LOC_Os01g01910.1","LOC_Os01g01910"
"307","LOC_Os01g01920.1","LOC_Os01g01920"
"308","LOC_Os01g01920.2","LOC_Os01g01920"
"309","LOC_Os01g01925.1","LOC_Os01g01925"
"310","LOC_Os01g01930.1","LOC_Os01g01930"
"311","LOC_Os01g01940.1","LOC_Os01g01940"
"312","LOC_Os01g01950.1","LOC_Os01g01950"
"313","LOC_Os01g01960.1","LOC_Os01g01960"
"314","LOC_Os01g01970.1","LOC_Os01g01970"
"315","LOC_Os01g01970.2","LOC_Os01g01970"
"316","LOC_Os01g01980.1","LOC_Os01g01980"
"317","LOC_Os01g01990.1","LOC_Os01g01990"
"318","LOC_Os01g02000.1","LOC_Os01g02000"
"319","LOC_Os01g02010.1","LOC_Os01g02010"
"320","LOC_Os01g02020.1","LOC_Os01g02020"
"321","LOC_Os01g02020.3","LOC_Os01g02020"
"322","LOC_Os01g02040.1","LOC_Os01g02040"
"323","LOC_Os01g02040.2","LOC_Os01g02040"
"324","LOC_Os01g02050.1","LOC_Os01g02050"
"325","LOC_Os01g02060.1","LOC_Os01g02060"
"326","LOC_Os01g02060.2","LOC_Os01g02060"
"327","LOC_Os01g02070.1","LOC_Os01g02070"
"328","LOC_Os01g02080.1","LOC_Os01g02080"
"329","LOC_Os01g02090.1","LOC_Os01g02090"
"330","LOC_Os01g02090.2","LOC_Os01g02090"
"331","LOC_Os01g02100.1","LOC_Os01g02100"
"332","LOC_Os01g02100.4","LOC_Os01g02100"
"333","LOC_Os01g02100.3","LOC_Os01g02100"
"334","LOC_Os01g02100.2","LOC_Os01g02100"
"335","LOC_Os01g02110.1","LOC_Os01g02110"
"336","LOC_Os01g02120.1","LOC_Os01g02120"
"337","LOC_Os01g02130.1","LOC_Os01g02130"
"338","LOC_Os01g02139.1","LOC_Os01g02139"
"339","LOC_Os01g02150.1","LOC_Os01g02150"
"340","LOC_Os01g02160.1","LOC_Os01g02160"
"341","LOC_Os01g02170.2","LOC_Os01g02170"
"342","LOC_Os01g02170.1","LOC_Os01g02170"
"343","LOC_Os01g02180.1","LOC_Os01g02180"
"344","LOC_Os01g02180.2","LOC_Os01g02180"
"345","LOC_Os01g02190.1","LOC_Os01g02190"
"346","LOC_Os01g02200.1","LOC_Os01g02200"
"347","LOC_Os01g02210.1","LOC_Os01g02210"
"348","LOC_Os01g02220.1","LOC_Os01g02220"
"349","LOC_Os01g02230.1","LOC_Os01g02230"
"350","LOC_Os01g02240.1","LOC_Os01g02240"
"351","LOC_Os01g02250.1","LOC_Os01g02250"
"352","LOC_Os01g02260.1","LOC_Os01g02260"
"353","LOC_Os01g02270.1","LOC_Os01g02270"
"354","LOC_Os01g02280.1","LOC_Os01g02280"
"355","LOC_Os01g02290.1","LOC_Os01g02290"
"356","LOC_Os01g02290.2","LOC_Os01g02290"
"357","LOC_Os01g02300.1","LOC_Os01g02300"
"358","LOC_Os01g02310.1","LOC_Os01g02310"
"359","LOC_Os01g02320.1","LOC_Os01g02320"
"360","LOC_Os01g02334.1","LOC_Os01g02334"
"361","LOC_Os01g02350.1","LOC_Os01g02350"
"362","LOC_Os01g02360.1","LOC_Os01g02360"
"363","LOC_Os01g02370.1","LOC_Os01g02370"
"364","LOC_Os01g02380.1","LOC_Os01g02380"
"365","LOC_Os01g02390.2","LOC_Os01g02390"
"366","LOC_Os01g02390.1","LOC_Os01g02390"
"367","LOC_Os01g02400.1","LOC_Os01g02400"
"368","LOC_Os01g02400.3","LOC_Os01g02400"
"369","LOC_Os01g02400.2","LOC_Os01g02400"
"370","LOC_Os01g02410.1","LOC_Os01g02410"
"371","LOC_Os01g02420.1","LOC_Os01g02420"
"372","LOC_Os01g02430.1","LOC_Os01g02430"
"373","LOC_Os01g02440.1","LOC_Os01g02440"
"374","LOC_Os01g02450.1","LOC_Os01g02450"
"375","LOC_Os01g02460.1","LOC_Os01g02460"
"376","LOC_Os01g02470.1","LOC_Os01g02470"
"377","LOC_Os01g02480.1","LOC_Os01g02480"
"378","LOC_Os01g02490.1","LOC_Os01g02490"
"379","LOC_Os01g02490.2","LOC_Os01g02490"
"380","LOC_Os01g02500.1","LOC_Os01g02500"
"381","LOC_Os01g02510.1","LOC_Os01g02510"
"382","LOC_Os01g02520.1","LOC_Os01g02520"
"383","LOC_Os01g02530.1","LOC_Os01g02530"
"384","LOC_Os01g02540.1","LOC_Os01g02540"
"385","LOC_Os01g02550.1","LOC_Os01g02550"
"386","LOC_Os01g02560.1","LOC_Os01g02560"
"387","LOC_Os01g02570.1","LOC_Os01g02570"
"388","LOC_Os01g02580.1","LOC_Os01g02580"
"389","LOC_Os01g02590.1","LOC_Os01g02590"
"390","LOC_Os01g02600.1","LOC_Os01g02600"
"391","LOC_Os01g02610.1","LOC_Os01g02610"
"392","LOC_Os01g02629.1","LOC_Os01g02629"
"393","LOC_Os01g02650.1","LOC_Os01g02650"
"394","LOC_Os01g02660.1","LOC_Os01g02660"
"395","LOC_Os01g02670.1","LOC_Os01g02670"
"396","LOC_Os01g02680.1","LOC_Os01g02680"
"397","LOC_Os01g02690.1","LOC_Os01g02690"
"398","LOC_Os01g02700.1","LOC_Os01g02700"
"399","LOC_Os01g02710.1","LOC_Os01g02710"
"400","LOC_Os01g02720.1","LOC_Os01g02720"
"401","LOC_Os01g02720.2","LOC_Os01g02720"
"402","LOC_Os01g02730.1","LOC_Os01g02730"
"403","LOC_Os01g02740.1","LOC_Os01g02740"
"404","LOC_Os01g02750.1","LOC_Os01g02750"
"405","LOC_Os01g02760.1","LOC_Os01g02760"
"406","LOC_Os01g02770.1","LOC_Os01g02770"
"407","LOC_Os01g02780.1","LOC_Os01g02780"
"408","LOC_Os01g02790.1","LOC_Os01g02790"
"409","LOC_Os01g02800.1","LOC_Os01g02800"
"410","LOC_Os01g02810.1","LOC_Os01g02810"
"411","LOC_Os01g02830.1","LOC_Os01g02830"
"412","LOC_Os01g02840.1","LOC_Os01g02840"
"413","LOC_Os01g02850.1","LOC_Os01g02850"
"414","LOC_Os01g02860.1","LOC_Os01g02860"
"415","LOC_Os01g02870.1","LOC_Os01g02870"
"416","LOC_Os01g02880.1","LOC_Os01g02880"
"417","LOC_Os01g02884.1","LOC_Os01g02884"
"418","LOC_Os01g02890.1","LOC_Os01g02890"
"419","LOC_Os01g02900.1","LOC_Os01g02900"
"420","LOC_Os01g02900.2","LOC_Os01g02900"
